"Qty";"Value";"Device";"Package";"Parts";"Description";"DIELECTRIC";"MF";"MFR";"MPN";"OC_DIGIKEY";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POWERRATING";"PRICE100_DIGIKEY";"PRICE100_FARNELL";"PROD_ID";"RATED_VOLTAGE";"SF_ID";"SUPPLIER";"TOLERANCE";"TP_SIGNAL_NAME";"VALUE";
"5";"";"JP1Q";"JP1";"JP2, JP6, JP7, JP8, JP9";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M03LOCK";"1X03_LOCK";"JP4";"Header 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"M03X2NO_SILK";"2X3-NS";"J2, J3";"2x3 .1" header.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M10LOCK";"1X10_LOCK";"JP5";"Header 10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA08-1";"MA08-1";"SV1";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MA08-2";"MA08-2";"SV2, SV3";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"XTAL-3.2X1.5";"XTAL3215";"X1";"Low cost SMT crystals, no capacitors included";"";"";"";"ABS07-32.768KHZ-T";"";"2101347";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"XTAL-4-3225";"NX3225";"Q3";"Classic 4-pin 3.2 x 2.5mm crystal";"";"";"";"ABM8G-25.000MHZ-4Y-T3";"";"2467848";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0";"BLM31PG330SN1_1206";"1206";"FB5, FB6, FB7";"";"";"";"";"BLM31PG330SN1";"";"";"";"1206";"";"";"";"";"";"";"MURATA";"";"";"";
"1";"0";"R-EU_R0402";"R0402";"R32";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";
"4";"0";"R-EU_R0402";"R0402";"R4, R14, R49, R67";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"0";"R-EU_R0603";"R0603";"R62, R63, R71, R83, R84, R85";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5%";"";"";
"2";"0.01 uF";"C-EUC0402";"C0402";"C11, C12";"CAPACITOR, European symbol";"C0G";"";"";"";"";"";"";"";"";"";"";"";"25V";"";"";"";"";"";
"1";"0.01 uF";"C-EUC0402";"C0402";"C111";"CAPACITOR, European symbol";"X7R";"";"";"";"";"";"";"";"";"";"";"";"50V";"";"";"10%";"";"";
"5";"0.047 uF";"C-EUC0402";"C0402";"C4, C6, C115, C116, C207";"CAPACITOR, European symbol";"X7R";"";"";"";"";"";"";"";"";"";"";"";"50V";"";"";"10%";"";"";
"69";"0.1 uF";"C-EUC0402";"C0402";"C19, C20, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C73, C74, C76, C79, C81, C83, C84, C85, C86, C88, C89, C91, C94, C96, C98, C99, C100, C101, C103, C104, C105, C106, C107, C110, C214, C215";"CAPACITOR, European symbol";"X7R";"";"";"";"";"";"";"";"";"";"";"";"10V";"";"";"";"";"";
