Designator	Value	Rated Voltage	Tolerance	Package	Dielectric	Quantity
C1, C2, C3	10 uF	50 V	10%	1210	X5R or X7R	3
C4, C6, C115, C116, C207	0.047 uF	50 V	10%	0402	X5R or X7R	5
C7, C13, C72, C82, C87, C97, C132, C136, C139, C140, C141, C144, C145, C148, C149, C152, C153, C156, C157, C160, C161, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180	4.7 uF	25 V	10%	0805	X5R or X7R	33
C8, C119, C120, C126, C133, C137, C165, C166, C167, C168, C209, C210	47 uF	10 V	20%	1210	X5R or X7R	12
C9, C10, C123, C127	330 uF	10 V	20%	D or X	Tantalum	4
C11, C12, C111	0.01 uF	25 V	10%	0402	X5R or X7R	3
C17, C18, C70, C71, C75, C78, C90, C93	5.1 pF	50 V	Any	0402	NP0 or C0G	8
C14, C15, C16, C19, C20, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C73, C74, C76, C79, C81, C83, C84, C85, C86, C88, C89, C91, C94, C96, C98, C99, C100, C101, C103, C104, C105, C106, C107, C108, C109, C110, C112, C121, C122, C211, C212, C213, C214, C215	0.1 uF	25 V	10%	0402	X5R or X7R	81
C21	1 uF	25 V	10%	0603	X5R or X7R	1
C22, C23, C24, C25	2.2 uF	10 V	10%	0603	X5R or X7R	4
C26, C27, C77, C80, C92, C95, C102	10 uF	10 V	10%	0805	X5R or X7R	7
C113, C114, C205, C206	22 uF	25 V	20%	1210	X5R or X7R	4
C117, C118, C208	27 pF	50 V	Any	0402	NP0 or C0G	3
C5, C124, C125, C128, C129, C130, C131, C134, C135, C138, C142, C143, C146, C147, C150, C151, C154, C155, C158, C159, C162, C163, C164, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204	0.47 uF	10 V	10%	0402	X5R or X7R	47
