"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R37","R_0402","37.091mm","60.4076mm","37.091mm","60.4076mm","37.591mm","60.4076mm","T","180.00",""
"R36","R_0402","37.091mm","59.1757mm","37.091mm","59.1757mm","36.591mm","59.1757mm","T","360.00",""
"R35","R_0402","59.4mm","62.4mm","59.4mm","62.4mm","59.4mm","61.9mm","T","90.00",""
"Y2","CRYSTAL_3.2X2.5","82.5377mm","8.7873mm","82.525mm","8.8mm","83.6426mm","9.6382mm","T","180.00","ABM8G-12.000MHZ-4Y-T3"
"Y1","CRYSTAL_3.2X2.5","23.0877mm","5.5127mm","23.075mm","5.5mm","22.2368mm","6.6176mm","T","270.00","ABM8G-12.000MHZ-4Y-T3"
"X1","XTAL3215","19.275mm","45.6096mm","19.275mm","45.6mm","19.275mm","46.8192mm","T","90.00","ABS07-32.768KHZ-T"
"U16","QFN68","25.9783mm","57.486mm","25.9842mm","57.4802mm","31.4842mm","60.9854mm","B","180.00","EN5364QI"
"U15","QFN38","10.8483mm","41.099mm","10.8458mm","41.0972mm","12.1158mm","37.6972mm","B","90.00","EN6347QI"
"U14","QFN38","35.4559mm","76.5538mm","35.4584mm","76.5556mm","34.1884mm","79.9556mm","B","270.00","EN6347QI"
"U13","BGA484C100P22X22_2300X2300X254","56.4534mm","68.8848mm","56.4534mm","68.8848mm","66.9534mm","79.3848mm","B","180.00","XC7A200TFBG484"
"U12","SOIC127P600X175-8N","80.4418mm","30.7307mm","80.4418mm","30.718mm","78.5368mm","33.4358mm","B","270.00","23K640-I/SN"
"U10","LQFP-32","53.0832mm","38.55mm","53.0832mm","38.55mm","50.2832mm","34.075mm","T","90.00","ATTINY828R-AU"
"U9","LQFP-48","86.3854mm","17.8496mm","86.3854mm","17.8496mm","83.6354mm","13.7996mm","T","90.00","FT232HL-REEL"
"U8","LQFP-48","13.8186mm","9.636mm","13.8186mm","9.636mm","17.8686mm","6.886mm","T","180.00","FT232HL-REEL"
"U7","SOIC127P600X175-8N","25.5873mm","43.45mm","25.6mm","43.45mm","22.8822mm","45.355mm","T","360.00","MCP79412-I/SN"
